,V1_Dir,V1_Action,V1_Lane_Nu,V1_Driver1,V2_Driver1,V2_Dir,V2_Action,V2_Lane_Nu,Total_Vehi,Fatalities,Injury_Typ,Injured,Property_D,Crash_Type,V1_Vehicle,V2_Driver_,Pedalcycli,Pedestrian,Motorcycli,V1_Type
9026,3.0,3.0,1.0,0.0,0.0,3.0,12.0,1.0,2.0,1.17166666666667,2.0,2.0,1.0,4.0,,,,,,
9027,2.0,3.0,3.0,17.0,0.0,2.0,3.0,3.0,2.0,1.18666666666667,1.96208511500123,0.0,0.0,0.0,,,,,,
9028,3.0,3.0,0.0,0.0,0.0,2.0,3.0,0.0,2.0,1.23166666666667,2.0,1.0,1.0,0.0,,,,,,
9029,2.0,3.0,2.0,0.0,0.0,2.0,3.0,2.0,2.0,1.03,2.11627077690995,0.0,0.0,4.0,,,,,,
9030,2.0,3.0,2.0,0.0,0.0,2.0,3.0,2.0,4.0,1.045,2.0,1.0,1.0,4.0,,,,,,
9031,2.0,3.0,0.0,0.0,0.0,0.0,13.0,0.0,2.0,1.25166666666667,2.0,1.0,1.0,0.0,,,,,,
9032,2.0,3.0,0.0,17.0,0.0,2.0,3.0,0.0,2.0,1.03,2.16,0.0,0.0,4.0,,,,,,
9033,3.0,3.0,0.0,0.0,0.0,1.0,3.0,0.0,2.0,1.0975,2.0,1.0,1.0,0.0,,,,,,
9034,3.0,1.0,1.0,0.0,0.0,3.0,3.0,1.0,2.0,1.18166666666667,2.0,1.0,1.0,0.0,,,,,,
9035,2.0,3.0,1.0,8.0,0.0,2.0,12.0,1.0,2.0,1.07,1.0,1.0,1.0,4.0,,,,,,
9036,1.0,6.0,1.0,24.0,0.0,1.0,3.0,1.0,2.0,1.13,2.0,1.0,1.0,0.0,,,,,,
9037,1.0,3.0,3.0,0.0,0.0,1.0,14.0,3.0,2.0,1.135,1.0,1.0,1.0,0.0,,,,,,
9038,3.0,14.0,2.0,0.0,0.0,0.0,14.0,2.0,2.0,1.22166666666667,1.0,2.0,1.0,0.0,,,,,,
