V1_Dir,V1_Action,V1_Lane_Nu,V1_Driver1,V1_Vehicle,V2_Driver1,V2_Dir,V2_Action,V2_Lane_Nu,V2_Driver_,Total_Vehi,Fatalities,Injury_Typ,Injured,Property_D,Crash_Type,Pedalcycli,Pedestrian,Motorcycli,V1_Type
N,CHANGING LANES,2,APPARENTLY NORMAL,UNSAFE LANE CHANGE,APPARENTLY NORMAL,S,STOPPED,2,34,2,,C,1,,REAR-END,,,,"SEDAN, 4 DOOR"
S,TURNING LEFT,0,APPARENTLY NORMAL,FAILED TO YIELD RIGHT OF WAY,APPARENTLY NORMAL,N,GOING STRAIGHT,0,37,2,,C,1,,ANGLE,,,,PICKUP
E,NOT REPORTED,0,DRUG INVOLVEMENT,FAILURE TO KEEP IN PROPER LANE OR RUNNING OFF ROAD: UNSAFE LANE CHANGE,,,,0,0,1,,C,1,,NON-COLLISION,,,,CARRY-ALL
N,TURNING LEFT,1,APPARENTLY NORMAL,,,,,0,0,1,,B,1,,NON-COLLISION,YES,,,CARRY-ALL
W,GOING STRAIGHT,0,APPARENTLY NORMAL,EXCEEDED AUTHORIZED SPEED LIMIT,APPARENTLY NORMAL,S,TURNING LEFT,0,46,2,,A,1,,ANGLE,,,YES,MOTORCYCLE
N,TURNING RIGHT,0,APPARENTLY NORMAL,FOLLOWED TOO CLOSELY,APPARENTLY NORMAL,N,STOPPED,0,0,2,,,0,PDO,REAR-END,,,,"HATCHBACK, 4 DOOR"
S,GOING STRAIGHT,1,APPARENTLY NORMAL,,APPARENTLY NORMAL,S,STOPPED,1,61,2,,C,2,,REAR-END,,,,"SEDAN, 4 DOOR"
W,GOING STRAIGHT,2,APPARENTLY NORMAL,FOLLOWED TOO CLOSELY,APPARENTLY NORMAL,W,STOPPED,2,17,2,,C,1,,REAR-END,,,,"SEDAN, 4 DOOR"
E,GOING STRAIGHT,2,APPARENTLY NORMAL,DRIVING TOO FAST FOR CONDITIONS: ROAD DEFECT,APPARENTLY NORMAL,E,STOPPED,2,29,2,,,0,PDO,REAR-END,,,,"SEDAN, 4 DOOR"
N,GOING STRAIGHT,0,"FELL ASLEEP, FAINTED, FATIGUED, ETC.",FAILURE TO KEEP IN PROPER LANE OR RUNNING OFF ROAD: UNSAFE LANE CHANGE,,,,0,0,1,,,0,PDO,NON-COLLISION,,,,"SEDAN, 2 DOOR"
S,GOING STRAIGHT,0,APPARENTLY NORMAL,UNKNOWN,APPARENTLY NORMAL,W,STOPPED,0,23,2,,C,2,,ANGLE,,,,CARRY-ALL
S,GOING STRAIGHT,0,APPARENTLY NORMAL,FAILED TO YIELD RIGHT OF WAY,APPARENTLY NORMAL,N,TURNING LEFT,0,73,2,,C,2,,ANGLE,,,,"SEDAN, 4 DOOR"
